Rank,Title,Year,IMDb Rating,Votes,Runtime,Certificate,Description,Link,min_age,is_16_plus,inferred_genres,primary_genre
1,The Shawshank Redemption,1994,9.3,3081689,2h 22m,R,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",https://www.imdb.com/title/tt0111161/,17.0,True,[],Unknown
2,The Godfather,1972,9.2,2149202,2h 55m,R,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,https://www.imdb.com/title/tt0068646/,17.0,True,"['Crime', 'History']",Crime
3,The Dark Knight,2008,9.1,3056543,2h 32m,PG-13,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",https://www.imdb.com/title/tt0468569/,10.0,False,[],Unknown
4,The Godfather Part II,1974,9.0,1445413,3h 22m,R,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",https://www.imdb.com/title/tt0071562/,17.0,True,"['Drama', 'Crime']",Drama
5,12 Angry Men,1957,9.0,941911,1h 36m,Approved,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,https://www.imdb.com/title/tt0050083/,,False,['Crime'],Crime
6,The Lord of the Rings: The Return of the King,2003,9.0,2098477,3h 21m,PG-13,Gandalf and Aragorn lead the World of Men against Sauron&apos;s army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,https://www.imdb.com/title/tt0167260/,10.0,False,[],Unknown
7,Schindler's List,1993,9.0,1539209,3h 15m,R,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",https://www.imdb.com/title/tt0108052/,17.0,True,['War'],War
8,Pulp Fiction,1994,8.8,2359024,2h 34m,R,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",https://www.imdb.com/title/tt0110912/,17.0,True,['Crime'],Crime
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2130737,2h 58m,PG-13,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,https://www.imdb.com/title/tt0120737/,10.0,False,['Drama'],Drama
10,"The Good, the Bad and the Ugly",1966,8.8,864370,2h 58m,R,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,https://www.imdb.com/title/tt0060196/,17.0,True,[],Unknown
11,Forrest Gump,1994,8.8,2406877,2h 22m,PG-13,"The history of the United States from the 1950s to the &apos;70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",https://www.imdb.com/title/tt0109830/,10.0,False,"['Romance', 'History']",Romance
12,The Lord of the Rings: The Two Towers,2002,8.8,1892764,2h 59m,PG-13,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron&apos;s new ally, Saruman, and his hordes of Isengard.",https://www.imdb.com/title/tt0167261/,10.0,False,[],Unknown
13,Fight Club,1999,8.8,2499575,2h 19m,R,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,https://www.imdb.com/title/tt0137523/,17.0,True,['Action'],Action
14,Inception,2010,8.8,2715348,2h 28m,PG-13,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",https://www.imdb.com/title/tt1375666/,10.0,False,[],Unknown
